artist,songs,popularity,genre
Jenny Rocha,1,4,Pop
Jessica Simpson,94,0.4,Pop
Jewel,243,0.3,Pop
Joan Osborne,111,1.8,Pop
JoÌ£o Marx,1,2.4,Pop
JoJo,142,1.4,Pop
Jonatas Ribeiro,5,2,Pop
Jordan Knight,38,0.8,Pop
Jordin Sparks,78,0.8,Pop
Josh Rouse,66,0.4,Pop
Ju Ribeiro,5,0.2,Pop
Juan Marcus e VinÌ_cius,44,0.3,Pop
Juliana Bumbeer,5,1.5,Pop
Juliana Starry,4,0.3,Pop
Julieta Venegas,153,0.9,Pop
Jullie,34,0.2,Pop
JÌ_nior Soares,1,1.6,Pop
JÌ_nior Soul,16,14.5,Pop
Kaleb KaraÌ£,4,0.2,Pop
Kandies,1,1.4,Pop
Kat Graham,25,0.1,Pop
Katy Perry,167,18.3,Pop
Kdrew,20,6.1,Pop
Kekel Pires,2,0.1,Pop
Kesha,193,2.6,Pop
Kid Abelha,160,4.8,Pop
KLB,129,2.5,Pop
Korth,1,0.4,Pop
Kudai,84,0.1,Pop
Lady Antebellum,101,3.5,Pop
Language of Flowers,12,14.2,Pop
Lanne,2,0.1,Pop
Lari PÌÁdua,5,0.1,Pop
Laryssa e Rayssa,3,0.4,Pop
Lea Ferguson,12,0.2,Pop
Leandro Lopes,26,0.1,Pop
Leighton Meester,32,0.1,Pop
Lene Alexandra,4,1.4,Pop
Lenylson Luan,2,0.2,Pop
Liah,66,0.2,Pop
Lil Seven,26,0.5,Pop
Lily Allen,95,3.6,Pop
Linho Nato,1,0.5,Pop
Little Mix,120,12.9,Pop
Little Nation,15,1.2,Pop
Loko Loko,1,3.2,Pop
Lolla Dias,3,0.1,Pop
"LSD (Labrinth, Sia & Diplo)",5,9,Pop
Lu Andrade,30,0.1,Pop
Luamarte,14,0.2,Pop
Lucas Alencar,4,55.4,Pop
Lucas Hawkin,1,0.4,Pop
Lucas Ing,1,6.6,Pop
Lucca e Juann,9,0.1,Pop
Luckas Carbonary,2,14.2,Pop
LuÌ_sa Sonza,14,5.1,Pop
Luka,52,0.5,Pop
Lulu Henrique,8,0.7,Pop
Maddi Jane,16,0.2,Pop
Madness,141,0.2,Pop
Maite Perroni,41,1,Pop
Marcelo e Vinicius,2,14.6,Pop
Marcos Valle,68,0.3,Pop
Mari Cardoso,1,1.3,Pop
Maria GadÌ_,86,6.1,Pop
Mariah Marini,3,1.4,Pop
Mariana Rios,33,0.7,Pop
Mariana SalomÌ£o,21,35.8,Pop
Marina Lima,187,1.7,Pop
Mario'ISO,1,0.1,Pop
Matheus Bahia,4,1.5,Pop
Matheus D'Paula,6,4.1,Pop
Matheus Gabriel,5,0.1,Pop
Mattheus MÌÁximo,55,0.2,Pop
Matthew Morrison,23,18.3,Pop
MaurÌ_cio Manieri,59,1.7,Pop
Mavix,1,0.2,Pop
Mc Didizin,1,0.1,Pop
MC Mineiro,2,0.6,Pop
MC Rihanna da Baixada,9,0.3,Pop
MDJ,1,0.9,Pop
Meghan Trainor,69,5.5,Pop
Melanie C,139,0.3,Pop
Melissa Nkonda,8,12.9,Pop
MetrÌ«,28,0.2,Pop
Michael Jackson,299,35.3,Pop
MichÌ©e. MB,12,1.3,Pop
Michel Grasiani,1,0.1,Pop
Michelle Wilson,7,0.1,Pop
Mietta,94,26.3,Pop
Mike Posner,96,4.1,Pop
Miley Cyrus,260,16.6,Pop
Miliko San,2,0.3,Pop
Mone Garcia,2,0.7,Pop
Nalanda,13,11.9,Pop
NanaLu,3,0.1,Pop
Nancy Sinatra,52,0.3,Pop
Nanda Florence,14,0.1,Pop
Nanda Lynn,2,0.2,Pop
