artist,songs,popularity,genre
Heytor Vianna,1,14.6,Pop
Lucas e Felipe,31,0.1,Pop
ThÌÁssio Oliveira,14,0.1,Pop
Bola de Fogo,13,0.8,Pop
Caroline Miranda,1,0.1,Pop
Lenny B,5,18.3,Pop
Ludmilla,53,6.5,Pop
MC G15,12,3.5,Pop
Mc Gui,27,1.1,Pop
MC Novinho,13,1.3,Pop
Perlla,70,0.9,Pop
Valesca Popozuda,11,0.5,Pop
Vine Rodry,3,0.8,Pop
Leandro Sapucahy,43,0.6,Pop
Marku Ribas,9,0.3,Samba
Melvin Santhana,8,4.5,Samba
Diogo Ferreira,4,0.1,Samba
Martin EustÌÁquio,69,4.9,Samba
Adoniran Barbosa,104,1.7,Samba
AgepÌ»,141,0.9,Samba
Alcione,374,5.1,Samba
Alexandre Pires,195,6.2,Samba
Almir Guineto,66,1.2,Samba
Amizade PartidÌÁria,1,1.4,Samba
Angelo Paes Leme,10,0.1,Samba
Arlindo Cruz,201,5.2,Samba
Ary Barroso,149,0.5,Samba
Assis Valente,6,1.7,Samba
Banda Eleve,1,0.1,Samba
BÌÁrbara Beats,1,0.1,Samba
Batucada Leve,2,0.3,Samba
Batuque Marcado,127,0.4,Samba
Beth Carvalho,250,2.6,Samba
Biro do Cavaco,39,0.1,Samba
Bruninho (Uma Nova HistÌ_ria),5,0.4,Samba
Bruno Vidal & Wetto Lima,3,0.2,Samba
Candeia,66,0.2,Samba
Carmen Miranda,125,0.4,Samba
Cartola,93,2,Samba
Celina Santana,10,0.2,Samba
Chokolate,6,0.1,Samba
Chrigor,38,0.3,Samba
Clara Nunes,201,3.6,Samba
Claudio Barulho,1,0.4,Samba
Clementina de Jesus,43,0.2,Samba
Compromisso do Samba,2,4.6,Samba
DÌ© Lucas,4,0.3,Samba
DemÌ«nios da Garoa,134,0.7,Samba
Di Jair,3,0.2,Samba
Diogo Nogueira,120,4.1,Samba
Doce PaixÌ£o,4,0.3,Samba
Dona Ivone Lara,87,0.5,Samba
Donga,3,0.1,Samba
Dorival Caymmi,89,0.9,Samba
Dudu Nobre,97,0.9,Samba
Elizeth Cardoso,353,0.5,Samba
Elton Medeiros,17,0.4,Samba
Elza Soares,148,1.5,Samba
Enzo Belmonte,2,0.1,Samba
Eros Fidelos,1,5,Samba
Eskina do Samba,5,0.1,Samba
Flavio Cardoso,11,0.6,Samba
Fundo de Quintal,315,4.6,Samba
Germano Mathias,20,0.1,Samba
Giselle Couto,3,0.2,Samba
Grupo Autonomia,3,0.5,Samba
Grupo Curt'aÌ»,2,0.1,Samba
Grupo Dhadi 10,3,0.6,Samba
Grupo Fina Batucada,3,0.6,Samba
Grupo Jeito Natural,3,0.3,Samba
Grupo Puro Acaso,11,0.1,Samba
Grupo SatisfaÌ_Ì£o,1,0.6,Samba
Grupo Show de Bola (2),12,0.6,Samba
Grupo SoulBlack,2,0.2,Samba
Guilherme de Brito,11,0.2,Samba
Guinga,40,4.2,Samba
Herivelto Martins,33,0.1,Samba
HermÌ_nio Bello de Carvalho,25,4.3,Samba
Inimigos da HP,97,1,Samba
Ismael Silva,33,0.1,Samba
Ivanildo Lima,23,6.8,Samba
Jair Rodrigues,120,0.7,Samba
JamelÌ£o,53,0.1,Samba
JoÌ£o da Baiana,2,0.3,Samba
JoÌ£o Nogueira,113,0.7,Samba
Joca Freire,24,3.6,Samba
JongÌ«,1,4.9,Samba
Jorge AragÌ£o,168,4.5,Samba
Jorge Ben Jor,256,3.5,Samba
Jovelina PÌ©rola Negra,71,0.4,Samba
Juliana Diniz,17,1.2,Samba
JÌ_lio JosÌ© S.,6,4.7,Samba
Junior Werneck,2,0.2,Samba
KatinguelÌ»,137,1.7,Samba
Lance de Primeira,6,0.1,Samba
Leandro Sapucahy,43,0.6,Samba
Leci BrandÌ£o,122,0.6,Samba
Levemente Sensual,4,4.2,Samba
Lucas da Viola,15,0.1,Samba
Luciano JS,12,0.1,Samba
LuÌ_s Martins,6,13,Samba
Makley Matos,4,4.2,Samba
Marcela Veiga,11,0.7,Samba
Marlene,34,0.1,Samba
Mart'nÌÁlia,87,1,Samba
Martinho da Vila,217,5.6,Samba
Miltinho,52,0.1,Samba
Monarco,20,0.6,Samba
Moreira da Silva,55,0.2,Samba
Neguinho da Beija-Flor,57,0.4,Samba
Nei Lopes,22,0.1,Samba
Nelson Cavaquinho,134,0.4,Samba
Nelson Sargento,53,0.1,Samba
Os Originais do Samba,62,0.6,Samba
Partido Em 5,2,0.1,Samba
Paulinho da Viola,160,0.7,Samba
Pixinguinha,31,0.7,Samba
POETASP,14,0.4,Samba
Pura CadÌ»ncia,48,0.1,Samba
Quinteto em Branco e Preto,75,0.6,Samba
Reinaldo,93,2.5,Samba
Roberto Ribeiro,135,0.6,Samba
Samba D' Improviso,2,0.2,Samba
Samba de Rainha,38,5.1,Samba
SambÌ«,71,0.8,Samba
Samprazer,80,1.5,Samba
SÌ©rgio Malakay,1,0.1,Samba
Simplicidade S/A,3,0.1,Samba
SinhÌ«,3,0.2,Samba
SÌ_ Pra Contrariar,157,4.7,Samba
Soul+Samba,8,6.8,Samba
SwingaÌ»,6,1.4,Samba
Symulek,7,0.3,Samba
Teresa Cristina,127,0.3,Samba
Thais Macedo,8,0.1,Samba
Thiago Becker,1,0.1,Samba
TÌ« Black,3,4.3,Samba
Tudo Ì© Samba,10,0.4,Samba
Velha Guarda da Portela,47,0.1,Samba
Wilson Batista,12,0.5,Samba
Wilson das Neves,19,4.9,Samba
Zeca Pagodinho,309,13.2,Samba
Fuse,46,2.8,Samba
Grupo Palavra Certa,3,1.5,Samba
Maria Rita,140,2.8,Samba
Miliko San,2,0.5,Samba
Werick Silva,1,1.5,Samba
Amanda Gonsales,5,0.4,Samba
Aracy de Almeida,51,0.1,Samba
Art Popular,184,3.2,Samba
Ataulfo Alves,190,0.2,Samba
Bezerra da Silva,292,2.9,Samba
Braguinha,25,0.3,Samba
Bruno Macedo & Banda,1,0.7,Samba
Cama de Voz,15,1,Samba
Carol Soares,2,0.1,Samba
Chico Buarque,447,14.1,Samba
Dalva de Oliveira,226,0.6,Samba
Francisco Alves,125,0.5,Samba
GastÌ£o Formenti,31,0.2,Samba
Grupo Doce Encontro,69,0.9,Samba
Grupo Pra Variar,1,13.8,Samba
Grupo RevelaÌ_Ì£o,188,13,Samba
Grupo Santa MalÌ_cia,1,0.3,Samba
Grupo Sem RazÌ£o,8,0.1,Samba
Gui Moscardini,12,0.6,Samba
Harmonia do Samba,221,2.1,Samba
JoÌ£o Bosco,146,1.4,Samba
Joyce Albuquerque,5,0.9,Samba
Ki-Garotos,1,3,Samba
Lenda ZN,16,13.8,Samba
Luiz Melodia,155,1,Samba
LupcÌ_nio Rodrigues,4,0.3,Samba
Marcelinho S/a,4,0.3,Samba
MÌÁrio Reis,25,2.8,Samba
Nayara Portela,29,4.1,Samba
Noel Rosa,158,0.5,Samba
Nosso Sentimento,101,4.9,Samba
Nosso Tom,45,0.1,Samba
Orlando Silva,85,0.3,Samba
Paulinno,3,0.2,Samba
Paulo Kalu,20,1.2,Samba
Pixote,167,8.8,Samba
Puro Samba,10,0.1,Samba
RaÌ_a Negra,280,14.3,Samba
Rico Teixeira,3,1.4,Samba
Seu Jorge,106,4.2,Samba
SidyBLaCk,3,0.1,Samba
SÌ_ Preto Sem Preconceito,23,0.2,Samba
Thiaguinho e Rodriguinho,12,0.3,Samba
Thiaguinho Wesley SDE,10,0.1,Samba
TiNdOlelÌ»,3,0.7,Samba
Wander Tok - Final,7,0.5,Samba
Will Castro,17,0.8,Samba
ZÌ© Ricardo,21,0.1,Samba
Marcelo D2,115,4.6,Samba
Wilson Simoninha,50,0.1,Samba
Belo,236,14.7,Samba
Bom Gosto,88,3,Samba
ExaltaSamba,238,13,Samba
Jeito Moleque,99,5,Samba
Maguinho Vemnobatuke,4,0.1,Samba
Mumuzinho,71,4.3,Samba
PÌ©ricles,102,6.8,Samba
Rodriguinho,106,2.7,Samba
Thiaguinho,143,13.8,Samba
Turma do Pagode,182,11.7,Samba
