,artist,title,track_n,line,lyrics,track_title
92,Evanescence,Origin,4,16,Now I'm bound by the life you left behind,My Immortal
93,Evanescence,Origin,4,17,Your face it haunts,My Immortal
94,Evanescence,Origin,4,18,My once pleasant dreams,My Immortal
95,Evanescence,Origin,4,19,Your voice it chased away,My Immortal
96,Evanescence,Origin,4,20,All the sanity in me,My Immortal
97,Evanescence,Origin,4,21,These wounds won't seem to heal,My Immortal
98,Evanescence,Origin,4,22,This pain is just too real,My Immortal
99,Evanescence,Origin,4,23,There's just too much that time cannot erase,My Immortal
100,Evanescence,Origin,4,24,When you cried I'd wipe away all of your tears,My Immortal
101,Evanescence,Origin,4,25,When you'd scream I'd fight away all of your fears,My Immortal
102,Evanescence,Origin,4,26,And I held your hand through all of these years,My Immortal
103,Evanescence,Origin,4,27,But you still have all of me,My Immortal
104,Evanescence,Origin,4,28,I've tried so hard to tell myself that you're gone,My Immortal
105,Evanescence,Origin,4,29,But though you're still with me,My Immortal
106,Evanescence,Origin,4,30,I've been alone all along,My Immortal
107,Evanescence,Origin,4,31,When you cried I'd wipe away all of your tears,My Immortal
108,Evanescence,Origin,4,32,When you'd scream I'd fight away all of your fears,My Immortal
109,Evanescence,Origin,4,33,And I held your hand through all of these years,My Immortal
110,Evanescence,Origin,4,34,But you still have all of me,My Immortal
111,Evanescence,Origin,4,35,"Ah, me, ah, me, ah",My Immortal
112,Evanescence,Origin,5,1,You're too important for anyone,Where Will You Go
113,Evanescence,Origin,5,2,You play the role of all you long to be,Where Will You Go
114,Evanescence,Origin,5,3,"But I, I know who you really are",Where Will You Go
115,Evanescence,Origin,5,4,You're the one who cries when you're alone,Where Will You Go
116,Evanescence,Origin,5,5,But where will you go,Where Will You Go
117,Evanescence,Origin,5,6,With no one left to save you from yourself,Where Will You Go
118,Evanescence,Origin,5,7,You can't escape,Where Will You Go
119,Evanescence,Origin,5,8,You can't escape,Where Will You Go
120,Evanescence,Origin,5,9,You think that I can't see right through your eyes,Where Will You Go
121,Evanescence,Origin,5,10,Scared to death to face reality,Where Will You Go
