artist,songs,popularity,link,genre
Gorillaz,136,2.7,/gorillaz/,Rock
Grand Funk Railroad,109,0.2,/grand-funk-railroad/,Rock
Green Day,239,7.4,/green-day/,Rock
Greta Van Fleet,20,1.2,/greta-van-fleet/,Rock
Gustavo Goulart,14,0,/gustavo-goulart/,Rock
HaZee,6,0,/hazee/,Rock
Heart,154,1.6,/heart/,Rock
HIM,112,0.4,/him/,Rock
Hinder,45,0.3,/hinder/,Rock
Hollywood Rose,11,0,/hollywood-rose/,Rock
Hollywood Undead,100,0.7,/hollywood-undead/,Rock
Hoobastank,122,2.2,/hoobastank/,Rock
Hori,32,0.3,/hori/,Pop
Hurry-up,20,0,/hurry-up/,Rock
Imagine Dragons,112,61.3,/imagine-dragons/,Rock
Incerta,5,0,/incerta/,Rock
Incubus,127,1.9,/incubus/,Rock
Instinto,20,0,/instinto/,Rock
InterceptÃ¶r,8,0,/interceptor/,Rock
IntrÃ©pida,8,0,/intrepida/,Rock
Invasores,7,0,/invasores-11/,Rock
Inventores do Nada,1,0,/inventores-do-nada/,Rock
INXS,146,1.7,/inxs/,Rock
Ira!,140,3.4,/ira/,Rock
Iron Weasel,20,0,/iron-weasel/,Rock
Ivo GonÃ§alves,45,0.1,/ivo-goncalves/,Rock
Jane's Addiction,59,0.3,/janes-addiction/,Rock
Janis Joplin,113,4.3,/janis-joplin/,Rock
Jars Of Clay,149,0.1,/jars-of-clay/,Rock
Jason Vargas,9,0,/jason-vargas/,Rock
JessÃ© Pedra Trio,2,0,/jesse-pedra-trio/,Rock
Jet,54,2.1,/jet/,Rock
Jimi Hendrix,129,1.8,/jimi-hendrix/,Rock
Jimmy Breedlove,8,0,/jimmy-breedlove/,Rock
Jimmy Eat World,143,0.3,/jimmy-eat-world/,Rock
Joan Jett & The Blackhearts,179,0,/joan-jett-the-blackhearts/,Rock
JoÃ£o Cascaio,6,0,/joao-cascaio/,Rock
JoÃ£o8,5,0,/joao8/,Rock
Joe Perry Project,45,0,/joe-perry-project/,Rock
John Lennon,134,12.9,/john-lennon/,Rock
John People,12,0,/john-people/,Pop
John Tennessee,1,0,/john-tennessee/,Rock
Johnny Rivers,160,1.6,/johnny-rivers/,Rock
Johnny Winter,108,0.1,/johnny-winter/,Rock
Juliette Lewis (and The Licks),41,0,/juliette-lewis-and-the-licks/,Rock
Kedart Alexandro,13,0,/kedart-alexandro/,Rock
Kiss,276,5.1,/kiss/,Rock
Krv,7,0,/krv/,Rock
KT Tunstall,105,0.7,/kt-tunstall/,Rock
Lagum,17,3.8,/lagum/,Rock
Lambertos,11,0,/lambertos/,Rock
LARG,2,0,/larg/,Rock
LCsilva,1,0,/lcsilva/,Rock
Led Zeppelin,95,9.2,/led-zeppelin/,Rock
Leela,44,0.1,/leela/,Rock
LegiÃ£o Urbana,118,27.7,/legiao-urbana/,Rock
Lenhadores da GalÃ¡xia,12,0,/lenhadores-da-galaxia/,Rock
Lenny Kravitz,188,3.2,/lenny-kravitz/,Rock
Liam Gallagher,16,0.2,/liam-gallagher/,Rock
Lifehouse,146,7.5,/lifehouse/,Rock
Like a Boss,5,0,/like-a-boss/,Rock
Limp Bizkit,132,1.9,/limp-bizkit/,Rock
Linkin Park And Jay-Z,7,0,/linkin-park-jay-z/,Rock
Lipstick,36,0.1,/lipstick/,Rock
Lisura,5,0,/lisura/,Rock
LobÃ£o,112,1.3,/lobao/,Rock
Lonsdale Boys Club,4,0,/lonsdale-boys-club/,Rock
Los Cunhados,0,0,/los-cunhados/,Rock
Lou Reed,223,0.7,/lou-reed/,Rock
Love,48,0.1,/love/,Rock
Lucas Ray Exp,6,0,/lucas-ray-exp/,Rock
Lutadores Guerreiros,31,0,/lutadores-guerreiros/,Rock
Luvic,11,0,/luvic/,Rock
Lynyrd Skynyrd,165,2.3,/lynyrd-skynyrd/,Rock
Maicon Egot,7,0,/maicon-egot/,Rock
Mara,15,0,/mara/,Rock
Marcelo Miglioli e Bryan Ryus,1,0,/marcelo-miglioli-e-bryan-ryus/,Rock
Marcelo Nova,60,0.1,/marcelo-nova/,Rock
Marcos Elemento,1,0,/marcos-elemento/,Rock
Marianne Faithfull,237,0.1,/marianne-faithfull/,Rock
Marino Scheid,2,0,/marino-scheid/,Rock
Marku Ribas,9,0,/marku-ribas/,Samba
Maroon 5,151,90.3,/maroon-5/,Pop
Matchbox Twenty,71,1,/matchbox-20/,Rock
Mauricio Leal,7,0,/mauricio-leal/,Rock
Megaira,1,0,/megaira/,Rock
Men At Work,34,1.6,/men-at-work/,Rock
